file,round,process,target,metric,operand,compression,communication
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,1,internode_time,B,0.326944,0.178185
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,3,internode_time,A,1.216608,7.651696
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,0,internode_time,B,7.94128,13.317024
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,0,internode_time,A,5.359232,23.666945
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,3,internode_time,A,3.574304,9.89007
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,3,internode_time,B,1.327232,0.636398
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,1,internode_time,A,15.71872,8.754297
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,0,internode_time,A,4.848032,0.825173
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,3,internode_time,B,11.868416,6.004881
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,8,3,internode_time,A,3.119424,7.980324
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,2,internode_time,A,0.309632,0.145081
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,2,internode_time,B,0.31824,15.894536
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,13,3,internode_time,B,4.8592,0.813789
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,7,3,internode_time,A,4.85392,0.814727
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,4,0,internode_time,A,0.106208,0.145031
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,4,2,internode_time,B,0.101056,0.538834
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,2,0,internode_time,B,4.795552,0.802886
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,3,internode_time,A,0.380992,11.144733
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,3,internode_time,B,0.401728,2.630083
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,2,internode_time,B,0.943584,1.615168
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,1,internode_time,A,4.144672,0.492925
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,1,internode_time,B,76.073341,82.596016
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,0,2,internode_time,A,117.872864,82.352753
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,1,internode_time,B,91.527069,0.695272
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,2,internode_time,B,0.396704,0.763698
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,2,internode_time,A,7.663136,17.935768
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,1,internode_time,A,0.512736,8.459987
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,15,1,internode_time,B,4.21456,1.528496
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,2,internode_time,A,0.773504,0.279099
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,10,2,internode_time,B,0.804576,0.238099
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,1,internode_time,A,0.7872,0.307666
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,5,1,internode_time,B,0.814272,0.265364
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,1,2,internode_time,A,0.106688,0.485621
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,1,1,internode_time,B,0.104064,0.431926
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,2,internode_time,B,0.305184,0.59921
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,2,internode_time,A,0.23568,0.460892
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,3,0,internode_time,A,0.299424,12.265805
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,4,1,internode_time,A,0.109728,0.440563
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,3,internode_time,B,0.210048,4.159829
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,2,internode_time,A,0.316928,13.854001
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,9,0,internode_time,A,0.202176,1.023235
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,12,0,internode_time,B,0.30512,0.576128
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,6,0,internode_time,B,0.209792,0.40811
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,1,internode_time,B,0.216544,0.491559
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,11,2,internode_time,A,0.355776,6.939464
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,0,14,2,internode_time,B,0.364672,0.931838
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,1,internode_time,A,0.372768,0.15474
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,3,internode_time,A,0.415712,0.570415
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,1,internode_time,B,0.11344,0.159569
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,3,internode_time,A,0.387712,0.825569
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,1,internode_time,B,0.84848,5.214579
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,0,internode_time,A,1.41984,0.29972
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,0,internode_time,B,0.720992,0.24294
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,3,internode_time,A,1.162752,12.594661
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,1,internode_time,A,0.763008,0.945134
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,3,internode_time,B,1.22752,0.197934
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,0,internode_time,B,4.562528,1.077466
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,0,internode_time,A,0.320512,0.514476
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,3,internode_time,A,0.482112,14.705242
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,3,internode_time,B,2.704256,2.869446
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,3,internode_time,A,1.345056,13.719803
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,1,internode_time,B,7.009312,9.324434
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,1,internode_time,A,0.809056,18.804728
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,3,internode_time,B,17.272352,3.208212
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,0,internode_time,A,0.326496,0.161814
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,1,internode_time,A,0.906912,15.694048
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,3,internode_time,B,6.785664,5.277438
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,0,internode_time,A,0.299136,9.588526
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,3,internode_time,A,0.332032,17.315523
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,1,internode_time,B,0.34464,6.69873
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,0,internode_time,B,0.290784,0.604207
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,0,internode_time,B,0.437216,6.63748
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,0,internode_time,A,0.408128,13.416285
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,0,internode_time,B,0.09824,1.01743
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,3,internode_time,B,0.3144,0.566307
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,2,internode_time,A,0.19184,0.522331
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,2,internode_time,A,0.360992,0.170671
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,3,internode_time,B,0.400896,1.345637
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,0,internode_time,A,0.842272,0.494388
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,1,internode_time,B,8.529248,16.750362
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,2,internode_time,A,5.801568,16.670467
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,2,internode_time,B,4.795584,0.830102
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,1,internode_time,A,2.433376,0.831775
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,2,internode_time,B,0.369664,0.215687
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,1,internode_time,A,0.31744,0.156943
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,0,internode_time,B,0.328992,0.175129
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,3,internode_time,A,0.787264,0.298849
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,3,internode_time,B,0.790368,0.272539
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,2,internode_time,A,0.660416,10.020324
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,2,internode_time,B,1.127392,0.571158
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,2,internode_time,B,4.476096,17.783144
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,2,internode_time,A,6.285568,21.589491
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,1,internode_time,B,4.832448,0.836159
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,1,internode_time,A,9.61616,13.991099
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,0,internode_time,A,4.384224,9.485206
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,3,internode_time,B,0.355616,0.204226
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,1,internode_time,B,0.301248,2.852375
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,2,internode_time,B,0.209952,0.505812
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,0,internode_time,A,0.223328,0.508852
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,3,internode_time,A,0.356416,0.168886
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,1,internode_time,B,0.765056,0.84994
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,4,0,internode_time,A,0.104768,0.140362
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,3,internode_time,A,1.061344,9.52844
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,12,2,internode_time,A,0.303712,9.934798
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,2,internode_time,A,5.249824,19.428923
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,2,internode_time,B,5.243744,19.402752
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,1,internode_time,A,4.862656,0.849098
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,1,internode_time,B,21.995487,23.372795
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,0,internode_time,A,14.652672,23.275728
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,0,internode_time,B,3.980576,1.793801
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,3,internode_time,A,0.211904,0.47493
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,1,internode_time,A,12.627904,28.527821
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,3,internode_time,B,0.31248,8.892362
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,2,internode_time,B,0.299264,0.595033
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,2,internode_time,B,6.432544,0.614681
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,3,internode_time,A,0.10288,7.333382
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,2,internode_time,B,0.30576,0.177894
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,1,internode_time,B,0.491616,1.287949
