file,round,process,target,metric,matrix,startnnz,endnnz,time
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,2,comp_rate,B,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,2,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,1,comp_rate,B,2086400,2062068,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,2,comp_rate,A,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,1,comp_rate,A,54034491,448057,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,2,comp_rate,B,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,0,comp_rate,A,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,1,comp_rate,B,54034491,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,3,comp_rate,B,54034491,473653,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,3,comp_rate,A,54034491,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,0,comp_rate,A,1350581,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,1,comp_rate,A,1350581,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,0,comp_rate,B,1350581,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,3,comp_rate,A,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,0,comp_rate,B,54731851,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,3,comp_rate,B,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,3,comp_rate,B,54034491,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,0,comp_rate,A,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,3,comp_rate,A,54034491,473653,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,3,comp_rate,A,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,3,comp_rate,B,54731851,54731851,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,1,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,0,comp_rate,B,2086400,2009600,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,0,comp_rate,A,2086400,2009600,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,3,comp_rate,B,2086400,76800,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,3,comp_rate,A,2086400,76800,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,1,comp_rate,A,2086400,24812,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,2,comp_rate,A,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,2,comp_rate,B,221855,221855,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,0,comp_rate,B,54034491,54034491,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,2,comp_rate,B,2086400,25442,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,2,comp_rate,A,2086400,25442,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,1,comp_rate,B,2086400,24812,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,3,comp_rate,B,2086400,27362,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,1,comp_rate,B,2086400,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,2,comp_rate,B,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,1,comp_rate,A,2086400,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,0,2,comp_rate,A,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,15,1,comp_rate,A,2086400,2062068,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,1,comp_rate,A,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,5,1,comp_rate,B,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,2,comp_rate,B,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,2,comp_rate,A,2086400,2086400,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,2,comp_rate,A,247478,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,3,0,comp_rate,A,247478,247478,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,3,comp_rate,B,221855,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,0,comp_rate,A,221855,0,
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,9,2,comp_rate,A,221855,221855,
